,percent
1975,52%
1976,normalpercent
1977,20%
1978,22percent
1979,50percent
1980,66percent
1981,60percent
1982,12%
1983,13%
1984,Wagespercent
1985,54%
1986,59%
1987,30%
1988,35%
1989,12%
1990,showingpercent
1991,termpercent
1992,100%
1993,11.9%
1994,5.6%
1995,5.3%
1996,4.1%
1997,130%
1998,30%
1999,91%
2000,1%
2001,2.25%
2002,2%
2003,lowerpercent
2004,2.2%
2005,2.75%
2006,1.84percent
2007,3%
2008,0.3%
2009,1.5%
2010,6.5%
2011,2.5%
2012,1%
2013,2.0%
2014,3%
2015,deficit%
2016,deficit%
2017,1%
2018,6%
2019,4.46%
2020,2%
2021,1.47%
2022,3.4%
2023,2.75%
2024,20%
2025,10.5%
2026,4.5%
2027,2%
2028,2percent
2029,2percent
2030,2.0%
2031,20.6%
2032,70%
2033,35%
2034,20%
2035,30%
2036,150%
2037,11percentage point
2038,72%
2039,61%
2040,77%
2041,4.2percentage point
2042,stimuluspercent
2043,40%
2044,35%
2045,10%
2046,1.3%
2047,40percent
2048,36percent
2049,10percent
2050,33percent
2051,14percent
2052,3%
2053,15.0%
2054,18.3%
2055,28.9%
2056,2.0%
2057,1.0%
2058,1.5%
2059,31percent
2060,45percent
2061,11percent
2062,13percent
2063,fivepercent
2064,35%
2065,1%
2066,7.5%
2067,7.75%
2068,2.75%
2069,4.75%
2070,1%
2071,7.7%
2072,75%
2073,74.4%
2074,78.5%
2075,2.9%
2076,6%
2077,12.7%
2078,15.9%
2079,7.2%
2080,11%
2081,2%
2082,15.9%
2083,24%
2084,97%
2085,13%
2086,72%
2087,83%
2088,26%
2089,1%
2090,1%
2091,13%
2092,24%
2093,13%
2094,24%
2095,41.5%
2096,1%
2097,17%
2098,14%
2099,9%
2100,4%
2101,4%
2102,2%
2103,50%
2104,13%
2105,6%
2106,10%
2107,6%
2108,24%
2109,7.5%
2110,1%
2111,5.5%
2112,29%
2113,63%
2114,30%
2115,50%
2116,75%
2117,80%
2118,9%
2119,14%
2120,1.3%
2121,24%
2122,20%
2123,1%
2124,5.5%
2125,7.5%
2126,30%
2127,1%
2128,2.5%
2129,3%
2130,2%
2131,1%
2132,1.33%
2133,80%
2134,3%
2135,1%
2136,12%
2137,0.95%
2138,11.4%
2139,12.1%
2140,2.5%
2141,chartpercent
2142,25%
2143,0.1percent
2144,0.01percent
2145,90%
2146,2percent
2147,4percent
2148,72.1percent
2149,3percent
2150,11percent
2151,14percent
2152,6percent
2153,10percent
2154,1percent
2155,1percent
2156,1percent
2157,5percent
2158,3percent
2159,4percent
2160,5percent
2161,5percent
2162,7percent
2163,11percent
2164,14percent
2165,2percent
2166,3percent
2167,2percent
2168,5percent
2169,19.2percent
2170,17.2percent
2171,3percent
2172,4percent
2173,8percent
2174,5percent
2175,6percent
2176,1percent
2177,11percent
2178,2percent
2179,4percent
2180,9percent
2181,12percent
2182,1percent
2183,4percent
2184,23percent
2185,4percent
2186,56percent
2187,68percent
2188,66percent
2189,19percent
2190,2percent
2191,5percent
2192,4percent
2193,2percent
2194,1percent
2195,1percent
2196,51.8percent
2197,49.9percent
2198,52.3percent
2199,50.2percent
2200,2percent
2201,3percent
2202,2percent
2203,2percent
2204,3percent
2205,1percent
2206,8percent
2207,10percent
2208,26.7percent
2209,27.7percent
2210,25.5percent
2211,24.4percent
2212,19.9percent
2213,20.9percent
2214,5percent
2215,8percent
2216,10percent
2217,13percent
2218,2percent
2219,1percent
2220,6percent
2221,1percent
2222,3percent
2223,18percent
2224,4percent
2225,7percent
2226,24percent
2227,7percent
2228,12percent
2229,2percent
2230,2percent
2231,1percent
2232,4percent
2233,2percent
2234,2percent
2235,4percent
2236,7percent
2237,6percent
2238,5percent
2239,4percent
2240,4percent
2241,1percent
2242,48.1percent
2243,46.9percent
2244,48.7percent
2245,47.2percent
2246,36.1percent
2247,32.0percent
2248,2.2%
2249,2.5%
2250,6.7%
2251,6.8%
2252,16.7percent
2253,80.7%
2254,85.8%
2255,102.7%
2256,53percent
2257,53percent
2258,38percent
2259,2.2%
2260,2.5%
2261,6.7%
2262,6.8%
2263,39%
2264,38%
2265,22%
2266,18%
2267,2.8%
2268,21percent
2269,37percent
2270,63percent
2271,30%
2272,50%
2273,5%
2274,35percent
2275,165.4%
2276,80.7%
2277,85.8%
2278,102.7%
2279,1percent
2280,11.5percent
2281,6.3percent
2282,3.2percent
2283,5.9percent
2284,3percent
2285,5.1percent
2286,14.5percent
2287,5.9percent
2288,25%
2289,17%
2290,3%
2291,18%
2292,13%
2293,32percentage point
2294,35%
2295,28percent
2296,47%
2297,35%
2298,57%
2299,51%
2300,48%
2301,ninepercentage point
2302,50%
2303,63%
2304,48%
2305,44%
2306,31%
2307,81%
2308,74%
2309,33%
2310,31%
2311,16%
2312,27%
2313,23%
2314,50%
2315,46%
2316,40%
2317,37%
2318,77%
2319,eightpercentage point
2320,50%
2321,47%
2322,45%
2323,22%
2324,19%
2325,11%
2326,47%
2327,45%
2328,35%
2329,76%
2330,53%
2331,79%
2332,70%
2333,53percent
2334,53percent
2335,10percent
2336,40%
2337,3.76%
2338,9.06%
2339,75%
2340,40%
2341,1%
2342,10%
2343,4%
2344,5%
2345,8.0%
2346,9.3%
2347,1.3%
2348,6.8%
2349,8.9%
2350,11.2%
2351,2.3%
2352,5.6%
2353,3.4%
2354,6.1%
2355,2.7%
2356,3.2%
2357,3.5%
2358,8.4%
2359,4.9%
2360,3.1%
2361,7.9%
2362,5.3%
2363,3.4%
2364,2.0%
2365,2.9%
2366,0.5%
2367,3.4%
2368,2.0%
2369,3.4%
2370,1.9%
2371,5.3%
2372,4.0%
2373,6.8%
2374,2.8%
2375,0.3%
2376,7.9%
2377,13.6%
2378,5.7%
2379,6.4%
2380,8.7%
2381,2.3%
2382,8.7%
2383,4.5%
2384,8.6%
2385,4.1%
2386,7.9%
2387,2%
2388,79%
2389,82%
2390,75%
2391,5.38%
2392,1.5%
2393,2.03%
2394,0.23%
2395,60%
2396,two-percent
2397,5.7percent
2398,2%
2399,2%
2400,1%
2401,2%
2402,2%
2403,1.3%
2404,2%
2405,1%
2406,5.9percent
2407,3.3percent
2408,7percent
2409,10percent
2410,95%
2411,4percent
2412,6percent
2413,10percent
2414,477percent
2415,425percent
2416,31percent
2417,4.10percent
2418,5.76percent
2419,0.9percent
2420,0.54percentage point
2421,3.79percent
2422,9.19percent
2423,3.2percent
2424,1.41percentage point
2425,4%
2426,3.71percent
2427,5.56percent
2428,3.6percent
2429,6.9percent
2430,0.75percentage point
2431,3.29percent
2432,10.78percent
2433,0.6percent
2434,4.8percent
2435,1.02percentage point
2436,8.97percent
2437,12.01percent
2438,0.83percentage point
2439,4.61percent
2440,17.61percent
2441,3.92percentage point
2442,3percentage point
2443,9.03percent
2444,19.10percent
2445,0.6percent
2446,7.6percent
2447,2.37percentage point
2448,12.37percent
2449,14.78percent
2450,14.8percent
2451,4%
2452,8.50percent
2453,11.44percent
2454,3.3percent
2455,6.1percent
2456,2.21percentage point
2457,5.98percent
2458,7.31percent
2459,3.7percent
2460,2.27percentage point
2461,6.52percent
2462,9.75percent
2463,5.6percent
2464,13.9percent
2465,0.64percentage point
2466,3.00percent
2467,6.00percent
2468,1.50percentage point
2469,9%
2470,5.31percent
2471,5.50percent
2472,5.8percent
2473,45.5percent
2474,4%
2475,4.76percent
2476,6.50percent
2477,6.0percent
2478,0.31percentage point
2479,1.00percent
2480,5.25percent
2481,1.8percent
2482,6.3percent
2483,0.36percentage point
2484,25%
2485,73%
2486,5%
2487,10%
2488,5.8percent
2489,15.8percent
2490,11.1percent
2491,0.8percent
2492,26percent
2493,67percent
2494,6%
2495,3percent
2496,30percent
2497,24percent
2498,9.98percent
2499,10percent
2500,10%
2501,78%
2502,7%
2503,35%
2504,5%
2505,11percent
2506,50percent
2507,2percentage point
2508,54%
2509,65%
2510,4%
2511,33%
2512,20%
2513,1.6percent
2514,11.3%
2515,11.8%
2516,6.6%
2517,35.9%
2518,27%
2519,37%
2520,36%
2521,13.6%
2522,17.3%
2523,9.1%
2524,10.9%
2525,17.3%
2526,23.1%
2527,72.4percent
2528,10%
2529,10%
2530,10%
2531,10.7%
2532,11.1%
2533,14.7%
2534,16.3%
2535,26.2%
2536,2%
2537,16%
2538,6%
2539,7.5%
2540,5%
2541,1.5%
2542,44.4%
2543,100%
2544,4.9%
2545,7.9%
2546,4.9%
2547,7.9%
2548,10percent
2549,2%
2550,9.3%
2551,3.3%
2552,7.1%
2553,78%
2554,37%
2555,35%
2556,36%
2557,3.6%
2558,4.3%
2559,7%
2560,20%
2561,9.3%
2562,5.5%
2563,50%
2564,35%
2565,20%
2566,26.6%
2567,10.5%
2568,2.7%
2569,17%
2570,5.4%
2571,78%
2572,34%
2573,2.8%
2574,3.9%
2575,2.3%
2576,5.8%
2577,2.3percent
2578,14.6%
2579,14.6%
2580,98%
2581,1%
2582,99.5%
2583,2%
2584,1%
2585,1%
2586,99.5%
2587,1.9%
2588,30%
2589,0.6percent
2590,0.7percent
2591,0.6percent
2592,0.5percent
2593,0.6percent
2594,0.5percent
2595,0.6percent
2596,5.6percent
2597,15.2percent
2598,0.7percent
2599,0.5percent
2600,2.08%
2601,0.1percent
2602,0.3percent
2603,0.3%
2604,5%
2605,7%
2606,0.6%
2607,1.7%
2608,1%
2609,3%
2610,5%
2611,6%
2612,7%
2613,13%
2614,2%
2615,2%
2616,10%
2617,2%
2618,72.4%
2619,72.7%
2620,2%
2621,DD%
2622,1%
2623,3%
2624,5percent
2625,30percent
2626,36percent
2627,40percent
2628,2.4percent
2629,1.3percent
2630,7.8percent
2631,3.8percent
2632,10percent
2633,0.27%
2634,0.6%
2635,2%
2636,15%
2637,50%
2638,10%
2639,9%
2640,19.7%
2641,28.4%
2642,25.5%
2643,2%
2644,0.34percent
2645,19.5percent
2646,31.1percent
2647,4percent
2648,1percent
2649,100%
2650,1.2%
2651,6percent
2652,5.5percent
2653,7percent
2654,5.9percent
2655,11percent
2656,9.4percent
2657,6%
2658,5%
2659,11%
2660,6%
2661,6%
2662,4%
2663,2%
2664,13%
2665,14%
2666,13%
2667,16.6%
2668,16.2%
2669,10%
2670,7%
2671,4%
2672,2%
2673,11%
2674,8%
2675,20.8%
2676,1%
2677,41%
2678,18%
2679,7.3%
2680,6.2%
2681,28%
2682,11%
2683,14%
2684,26%
2685,33.7%
2686,34.3%
2687,13%
2688,24%
2689,25.5%
2690,23.2%
2691,34%
2692,24%
2693,23%
2694,37%
2695,100%
2696,5%
2697,8%
2698,10percent
2699,24.2percent
2700,21.5percent
2701,5.3percent
2702,2.1percent
2703,40%
2704,8.69%
2705,11.6%
2706,4.9%
2707,10percent
2708,3.03%
2709,3.26%
2710,4.53%
2711,5.0%
2712,26percent
2713,67percent
2714,16percent
2715,17percent
2716,11.4percent
2717,8.6percent
2718,68percent
2719,65percent
2720,1%
2721,73%
2722,68%
2723,67%
2724,66%
2725,60%
2726,80%
2727,3.73%
2728,1.5%
2729,smallpercent
2730,1%
2731,0.20%
2732,50percent
2733,50percent
2734,80percent
2735,20percent
2736,11%
2737,31%
2738,38.6%
2739,31.6%
2740,37.0%
2741,29.4%
2742,10%
2743,12%
2744,20%
2745,45%
2746,50%
2747,30%
2748,35%
2749,25%
2750,10%
2751,40%
2752,47%
2753,60%
2754,59.8%
2755,50%
2756,10%
2757,0.35%
2758,20%
2759,8percent
2760,20%
2761,33percent
2762,182%
2763,3%
2764,2%
2765,85%
2766,11%
2767,53percent
2768,trackpercent
2769,16.3percent
2770,20percent
2771,25percent
2772,56percent
2773,25percent
2774,56percent
2775,0.4percent
2776,0.35percent
2777,70percent
2778,smallpercent
2779,90percent
2780,25percent
2781,15600%
2782,63%
2783,simplypercent
2784,10%
2785,8.24%
2786,10%
2787,50%
2788,10%
2789,50%
2790,8.24%
2791,7.3percent
2792,13.9%
2793,15.6%
2794,15%
2795,10%
2796,30%
2797,2%
2798,8.75%
2799,12%
2800,0.5%
2801,34%
2802,20%
2803,70%
2804,7.3percent
2805,9.3percent
2806,8.8percent
2807,19.9percent
2808,100%
2809,1.7%
2810,4percent
2811,8percent
2812,6.1%
2813,4.4%
2814,15%
2815,20%
2816,6%
2817,8%
2818,1percent
2819,1percent
2820,1percent
2821,1percent
2822,35percent
2823,38percent
2824,30percent
2825,2percent
2826,1percent
2827,4%
2828,20%
2829,5.8%
2830,1.9%
2831,1%
2832,14.5%
2833,15.8%
2834,2.1%
2835,76.8%
2836,11%
2837,15%
2838,12.3%
2839,20%
2840,9.2%
2841,10.2%
2842,16.8%
2843,26.2%
2844,28.2%
2845,0.3percent
2846,0.1percent
2847,0.9percent
2848,3.3percent
2849,10.2percent
2850,0.18percent
2851,1.0percent
2852,1.1percent
2853,flatpercent
2854,1.2percent
2855,1.8percent
2856,7percent
2857,0.3percent
2858,10%
2859,onepercent
2860,2.9percent
2861,1percent
2862,0.6percent
2863,0.1percent
2864,0.3percent
2865,0.2percent
2866,0.2percent
2867,1percent
2868,0.1percent
2869,0.5percent
2870,0.5percent
2871,0.2percent
2872,0.1percent
2873,0.5percent
2874,0.9percent
2875,0.5percent
2876,0.4percent
2877,6percent
2878,10percent
2879,2percent
2880,2percent
2881,7percent
2882,1.8percent
2883,7percent
2884,10percent
2885,60%
2886,10%
2887,10%
2888,34percent
2889,18percent
2890,7percent
2891,20percent
2892,20percent
2893,7.8percent
2894,70%
2895,20%
2896,5%
2897,0.3%
2898,100percent
2899,ninetypercent
2900,Equitypercent
2901,2.25%
2902,plotpercent
2903,14.19%
2904,100%
2905,ratiopercent
2906,exceedspercent
2907,keptpercent
2908,44.2%
2909,36.7%
2910,2%
2911,15%
2912,30%
2913,1.6%
2914,5.2%
2915,7.7%
2916,99%
2917,30%
2918,2%
2919,32%
2920,10%
2921,13%
2922,10%
2923,25%
2924,177.37%
2925,50%
2926,2%
2927,100%
2928,90%
2929,20%
2930,5%
2931,27%
2932,30%
2933,50%
2934,10%
2935,90%
2936,showingpercent
2937,termpercent
2938,100%
2939,11.9%
2940,5.8%
2941,5.6%
2942,4.1%
2943,fullpercentage point
2944,35.1percent
2945,4.7percent
2946,65percent
2947,1.30%
2948,1.3percent
2949,8.95percent
2950,2.69percent
2951,20percent
2952,13percent
2953,12percent
2954,9.2percent
2955,9.2percent
2956,95percent
2957,7%
2958,31percent
2959,2%
2960,95%
2961,zeropercent
2962,8%
2963,8%
2964,34%
2965,34percent
2966,18.75percent
2967,12.5percent
2968,25percent
2969,25percent
2970,12.5percent
2971,15percent
2972,2.8percent
2973,1%
2974,8%
2975,5%
2976,0.1percent
2977,0.13%
2978,14%
2979,23%
2980,2.5percent
2981,2.3percent
2982,9%
2983,4.5%
2984,4.4%
2985,70%
2986,25%
2987,70%
2988,70%
2989,58%
2990,62%
2991,10%
2992,51%
2993,77%
2994,41%
2995,63%
2996,90%
2997,61%
2998,82%
2999,49%
3000,53%
3001,58%
3002,38%
3003,92%
3004,62%
3005,38%
3006,72%
3007,82%
3008,87%
3009,98%
3010,97%
3011,70%
3012,86%
3013,50%
3014,2.5percent
3015,2.3percent
3016,2.5%
3017,86percent
3018,8.2percent
3019,17.3percent
3020,levelpercent
3021,5.27percent
3022,2.6percent
3023,10percent
3024,6percent
3025,20percent
3026,11percent
3027,44percent
3028,25percent
3029,subtractingpercent
3030,decreasepercent
3031,20.4percent
3032,19.0%
3033,22.4%
3034,20.4%
3035,1.0%
3036,25%
3037,10%
3038,2.4percent
3039,25percent
3040,90%
3041,25%
3042,35%
3043,11%
3044,4.3percent
3045,1.6percent
3046,6.9percent
3047,5.4percent
3048,0.9percent
3049,4.5percent
3050,8.2percent
3051,25percent
3052,70percent
3053,35%
3054,8%
3055,100%
3056,Ninetypercent
3057,20percent
3058,2%
3059,20%
3060,20percent
3061,16percent
3062,2%
3063,4.6percent
3064,2.0percent
3065,0.2percent
3066,0.4percent
3067,1.3percent
3068,0.8percent
3069,0.3percent
3070,0.8percent
3071,4.6percent
3072,0.7percent
3073,1.3percent
3074,1.2percent
3075,11.9percent
3076,1.3percent
3077,1.8percent
3078,4.2percent
3079,5.0percent
3080,0.8percent
3081,1.6percent
3082,0.1percent
3083,0.6percent
3084,3.8percent
3085,0.7percent
3086,0.3percent
3087,0.3percent
3088,110.4percent
3089,6.1percent
3090,4.6percent
3091,1.4percent
3092,2.0percent
3093,0.8percent
3094,0.4percent
3095,2.6percent
3096,10percent
3097,2.5percent
3098,1percent
3099,8.5percent
3100,10percent
3101,15percent
3102,15percent
3103,20%
3104,1.6%
3105,5.2%
3106,7.7%
3107,12.6%
3108,80%
3109,67%
3110,20%
3111,62%
3112,28%
3113,4%
3114,8.9%
3115,1%
3116,2.4%
3117,90percent
3118,3.1%
3119,1.8%
3120,1.0%
3121,0.1%
3122,1.5%
3123,1.56%
3124,1.6%
3125,2.4%
3126,2.7%
3127,0.5%
3128,3.1%
3129,1.5%
3130,1.6%
3131,1.7%
3132,2.0%
3133,2.2%
3134,3.6%
3135,3.2%
3136,1.7%
3137,2.2%
3138,2.2%
3139,1.9%
3140,10percent
3141,120%
3142,17percent
3143,70percent
3144,135percent
3145,5.84%
3146,0.4percent
3147,20percent
3148,20%
3149,20%
3150,positionpercent
3151,3percent
3152,1.5percent
3153,4percent
3154,17.2%
3155,73%
3156,7.5%
3157,100%
3158,150%
3159,16.7percent
3160,17.2percent
3161,27.4percent
3162,26.3percent
3163,8.6percent
3164,10.8percent
3165,37.7percent
3166,36.1percent
3167,15.4percent
3168,18.1percent
3169,20.6percent
3170,21.1percent
3171,14.3percent
3172,17.9percent
3173,27.0percent
3174,22.9percent
3175,19.1percent
3176,13.6percent
3177,15.6percent
3178,1percent
3179,8.2percent
3180,90percent
3181,1.2percent
3182,70percent
3183,90percent
3184,2percent
3185,90percent
3186,3percent
3187,6.6percent
3188,6.9percent
3189,28percent
3190,25percent
3191,20percent
3192,13percent
3193,18percent
3194,40percent
3195,4%
3196,5.52percent
3197,5.52percent
3198,5.55percent
3199,0.63percent
3200,0.7percent
3201,8.19%
3202,5.84%
3203,8.24%
3204,35%
3205,20%
3206,2.5%
3207,5%
3208,5%
3209,0.57%
3210,5.8%
3211,5.3%
3212,0.4%
3213,0.6percent
3214,1%
3215,100%
3216,6.36%
3217,3.71%
3218,80%
3219,3.39%
3220,100%
3221,2.4percent
3222,3.0percent
3223,3.1percent
3224,3.3percent
3225,3.3percent
3226,2percent
3227,Eighty-eightpercent
3228,onepercent
3229,55percent
3230,45percent
3231,40%
3232,32.80%
3233,10%
3234,23%
3235,14%
3236,50%
3237,2%
3238,1%
3239,10%
3240,0.1%
3241,22%
3242,2.5%
3243,0.3%
3244,2.2%
3245,8.4%
3246,1.0%
3247,0.1percent
3248,1.1percent
3249,46percent
3250,10percent
3251,90percent
3252,1percentage point
3253,0.71percent
3254,69percent
3255,49percent
3256,40percent
3257,10percent
3258,2percent
3259,halfpercentage point
3260,2percent
3261,2percent
3262,0.1%
3263,0.83percentage point
3264,12.4percent
3265,0.36percentage point
3266,12.4%
3267,25percent
3268,25percent
3269,4.5percent
3270,40%
3271,11%
3272,88.8percent
3273,11.2percent
3274,7.8percent
3275,3.4percent
3276,50percent
3277,birthpercent
3278,80%
3279,50%
3280,170percent
3281,70%
3282,5%
3283,6%
3284,8%
3285,3.4%
3286,40percent
3287,6percent
3288,14percent
3289,23percent
3290,9percent
3291,70percent
3292,2percent
3293,10%
3294,8.98%
3295,9.98%
3296,5.6%
3297,1.6%
3298,0.1%
3299,1.0%
3300,9percent
3301,47%
3302,87percent
3303,10percent
3304,500percent
3305,1.1percent
3306,2.5%
3307,3.0%
3308,1.27percentage point
3309,0.73percentage point
3310,2.2percent
3311,1.6percent
3312,13.9percent
3313,8.9percent
3314,0.4percent
3315,1.2percent
3316,0.9percent
3317,0.6percent
3318,8.4percent
3319,1.8percent
3320,1.1percent
3321,12.4percent
3322,2.6percent
3323,15.3percent
3324,13.5percent
3325,0.1percent
3326,1.1percent
3327,15.0percent
3328,9.5percent
3329,22.2percent
3330,12.9percent
3331,1.4percent
3332,3.0percent
3333,0.7percent
3334,0.3percent
3335,0.1percent
3336,1.1percent
3337,2.2percent
3338,2.1percent
3339,13.9percent
3340,1.33percentage point
3341,6.6percent
3342,15.0percent
3343,22.2percent
3344,1.4percent
3345,0.7percent
3346,1.27percentage point
3347,0.73percentage point
3348,9.7percent
3349,0.9percent
